benchmark_id,rq,stage,model,graph,n_system,n_terms,alpha,selector_ancillas,n_ancilla,max_locality,gate_count,qasm_path,check_mode,check_epsilon,inferred_alpha,residual_norm,residual_threshold,residual_numerical_tolerance,residual_acceptance_threshold,runtime_sec,tracemalloc_peak_mb,process_maxrss_mb,status,success,error,bug_detection_result
ising_n3__prepare_angle_delta_1e-03,RQ1,block_encoding,ising,periodic,3,6,6,3,4,2,109,evaluation/bug_detection/generated/block_encoding/ising_n3/ising_n3__prepare_angle_delta_1e-03.qasm,paper,1e-08,5.99999399789,0.00244992112181,3.53553390593e-9,0,3.53553390593e-9,0.042711625,0.097178,49.984375,FAIL,False,,success
ising_n3__select_cz_to_cx,RQ1,block_encoding,ising,periodic,3,6,6,3,4,2,109,evaluation/bug_detection/generated/block_encoding/ising_n3/ising_n3__select_cz_to_cx.qasm,paper,0.1,5.00000000000,1.35400640077,0.0353553390593,0,0.0353553390593,0.040104291,0.097114,49.984375,FAIL,False,,success
ising_n3__select_cz_to_cx,RQ1,block_encoding,ising,periodic,3,6,6,3,4,2,109,evaluation/bug_detection/generated/block_encoding/ising_n3/ising_n3__select_cz_to_cx.qasm,paper,0.001,5.00000000000,1.35400640077,0.000353553390593,0,0.000353553390593,0.039853167,0.097114,50.062500,FAIL,False,,success
ising_n3__select_cz_to_cx,RQ1,block_encoding,ising,periodic,3,6,6,3,4,2,109,evaluation/bug_detection/generated/block_encoding/ising_n3/ising_n3__select_cz_to_cx.qasm,paper,1e-05,5.00000000000,1.35400640077,0.00000353553390593,0,0.00000353553390593,0.039698209,0.097178,50.093750,FAIL,False,,success
ising_n3__select_cz_to_cx,RQ1,block_encoding,ising,periodic,3,6,6,3,4,2,109,evaluation/bug_detection/generated/block_encoding/ising_n3/ising_n3__select_cz_to_cx.qasm,paper,1e-08,5.00000000000,1.35400640077,3.53553390593e-9,0,3.53553390593e-9,0.039623916,0.097178,50.125000,FAIL,False,,success
ising_n3__normalization_full_selector,RQ1,block_encoding,ising,periodic,3,6,6,3,4,2,49,evaluation/bug_detection/generated/block_encoding/ising_n3/ising_n3__normalization_full_selector.qasm,paper,0.1,4.80000000000,1.54919333848,0.0353553390593,0,0.0353553390593,0.255558291,2.107174,53.796875,FAIL,False,,success
ising_n3__normalization_full_selector,RQ1,block_encoding,ising,periodic,3,6,6,3,4,2,49,evaluation/bug_detection/generated/block_encoding/ising_n3/ising_n3__normalization_full_selector.qasm,paper,0.001,4.80000000000,1.54919333848,0.000353553390593,0,0.000353553390593,0.019314500,0.088949,53.875000,FAIL,False,,success
ising_n3__normalization_full_selector,RQ1,block_encoding,ising,periodic,3,6,6,3,4,2,49,evaluation/bug_detection/generated/block_encoding/ising_n3/ising_n3__normalization_full_selector.qasm,paper,1e-05,4.80000000000,1.54919333848,0.00000353553390593,0,0.00000353553390593,0.018760458,0.072927,53.875000,FAIL,False,,success
ising_n3__normalization_full_selector,RQ1,block_encoding,ising,periodic,3,6,6,3,4,2,49,evaluation/bug_detection/generated/block_encoding/ising_n3/ising_n3__normalization_full_selector.qasm,paper,1e-08,4.80000000000,1.54919333848,3.53553390593e-9,0,3.53553390593e-9,0.018613125,0.073494,53.875000,FAIL,False,,success
maxcut_n3__clean,RQ1,block_encoding,maxcut,cycle,3,6,3,3,4,2,89,evaluation/bug_detection/generated/block_encoding/maxcut_n3/maxcut_n3__clean.qasm,paper,0.1,3.00000000000,1.57123433826e-60,0.0353553390593,0,0.0353553390593,0.037214542,0.091659,53.953125,PASS,True,,success
maxcut_n3__clean,RQ1,block_encoding,maxcut,cycle,3,6,3,3,4,2,89,evaluation/bug_detection/generated/block_encoding/maxcut_n3/maxcut_n3__clean.qasm,paper,0.001,3.00000000000,1.57123433826e-60,0.000353553390593,0,0.000353553390593,0.033412750,0.091473,53.968750,PASS,True,,success
maxcut_n3__clean,RQ1,block_encoding,maxcut,cycle,3,6,3,3,4,2,89,evaluation/bug_detection/generated/block_encoding/maxcut_n3/maxcut_n3__clean.qasm,paper,1e-05,3.00000000000,1.57123433826e-60,0.00000353553390593,0,0.00000353553390593,0.033670750,0.091473,53.984375,PASS,True,,success
maxcut_n3__clean,RQ1,block_encoding,maxcut,cycle,3,6,3,3,4,2,89,evaluation/bug_detection/generated/block_encoding/maxcut_n3/maxcut_n3__clean.qasm,paper,1e-08,3.00000000000,1.57123433826e-60,3.53553390593e-9,0,3.53553390593e-9,0.033876084,0.091782,53.984375,PASS,True,,success
maxcut_n3__prepare_angle_delta_1e-07,RQ1,block_encoding,maxcut,cycle,3,6,3,3,4,2,89,evaluation/bug_detection/generated/block_encoding/maxcut_n3/maxcut_n3__prepare_angle_delta_1e-07.qasm,paper,0.1,3.00000000000,8.66025419094e-8,0.0353553390593,0,0.0353553390593,0.034669959,0.091602,54.000000,PASS,True,,success
maxcut_n3__prepare_angle_delta_1e-07,RQ1,block_encoding,maxcut,cycle,3,6,3,3,4,2,89,evaluation/bug_detection/generated/block_encoding/maxcut_n3/maxcut_n3__prepare_angle_delta_1e-07.qasm,paper,0.001,3.00000000000,8.66025419094e-8,0.000353553390593,0,0.000353553390593,0.036795625,0.097581,54.046875,PASS,True,,success
maxcut_n3__prepare_angle_delta_1e-07,RQ1,block_encoding,maxcut,cycle,3,6,3,3,4,2,89,evaluation/bug_detection/generated/block_encoding/maxcut_n3/maxcut_n3__prepare_angle_delta_1e-07.qasm,paper,1e-05,3.00000000000,8.66025419094e-8,0.00000353553390593,0,0.00000353553390593,0.034097708,0.091668,54.078125,PASS,True,,success
maxcut_n3__prepare_angle_delta_1e-07,RQ1,block_encoding,maxcut,cycle,3,6,3,3,4,2,89,evaluation/bug_detection/generated/block_encoding/maxcut_n3/maxcut_n3__prepare_angle_delta_1e-07.qasm,paper,1e-08,3.00000000000,8.66025419094e-8,3.53553390593e-9,0,3.53553390593e-9,0.034316750,0.091772,54.078125,FAIL,False,,success
maxcut_n3__prepare_angle_delta_1e-05,RQ1,block_encoding,maxcut,cycle,3,6,3,3,4,2,89,evaluation/bug_detection/generated/block_encoding/maxcut_n3/maxcut_n3__prepare_angle_delta_1e-05.qasm,paper,0.1,2.99999999992,0.00000866026934690,0.0353553390593,0,0.0353553390593,0.034338459,0.092575,54.140625,PASS,True,,success
maxcut_n3__prepare_angle_delta_1e-05,RQ1,block_encoding,maxcut,cycle,3,6,3,3,4,2,89,evaluation/bug_detection/generated/block_encoding/maxcut_n3/maxcut_n3__prepare_angle_delta_1e-05.qasm,paper,0.001,2.99999999992,0.00000866026934690,0.000353553390593,0,0.000353553390593,0.034800542,0.091473,54.156250,PASS,True,,success
maxcut_n3__prepare_angle_delta_1e-05,RQ1,block_encoding,maxcut,cycle,3,6,3,3,4,2,89,evaluation/bug_detection/generated/block_encoding/maxcut_n3/maxcut_n3__prepare_angle_delta_1e-05.qasm,paper,1e-05,2.99999999992,0.00000866026934690,0.00000353553390593,0,0.00000353553390593,0.033580125,0.091537,54.156250,FAIL,False,,success
maxcut_n3__prepare_angle_delta_1e-05,RQ1,block_encoding,maxcut,cycle,3,6,3,3,4,2,89,evaluation/bug_detection/generated/block_encoding/maxcut_n3/maxcut_n3__prepare_angle_delta_1e-05.qasm,paper,1e-08,2.99999999992,0.00000866026934690,3.53553390593e-9,0,3.53553390593e-9,0.033655167,0.091537,54.156250,FAIL,False,,success
maxcut_n3__prepare_angle_delta_1e-03,RQ1,block_encoding,maxcut,cycle,3,6,3,3,4,2,89,evaluation/bug_detection/generated/block_encoding/maxcut_n3/maxcut_n3__prepare_angle_delta_1e-03.qasm,paper,0.1,2.99999924974,0.000866178244233,0.0353553390593,0,0.0353553390593,0.037475792,0.091537,54.156250,PASS,True,,success
maxcut_n3__prepare_angle_delta_1e-03,RQ1,block_encoding,maxcut,cycle,3,6,3,3,4,2,89,evaluation/bug_detection/generated/block_encoding/maxcut_n3/maxcut_n3__prepare_angle_delta_1e-03.qasm,paper,0.001,2.99999924974,0.000866178244233,0.000353553390593,0,0.000353553390593,0.037531250,0.091537,54.171875,FAIL,False,,success
maxcut_n3__prepare_angle_delta_1e-03,RQ1,block_encoding,maxcut,cycle,3,6,3,3,4,2,89,evaluation/bug_detection/generated/block_encoding/maxcut_n3/maxcut_n3__prepare_angle_delta_1e-03.qasm,paper,1e-05,2.99999924974,0.000866178244233,0.00000353553390593,0,0.00000353553390593,0.037579417,0.091537,54.171875,FAIL,False,,success
maxcut_n3__prepare_angle_delta_1e-03,RQ1,block_encoding,maxcut,cycle,3,6,3,3,4,2,89,evaluation/bug_detection/generated/block_encoding/maxcut_n3/maxcut_n3__prepare_angle_delta_1e-03.qasm,paper,1e-08,2.99999924974,0.000866178244233,3.53553390593e-9,0,3.53553390593e-9,0.036316583,0.091537,54.171875,FAIL,False,,success
maxcut_n3__select_cz_to_cx,RQ1,block_encoding,maxcut,cycle,3,6,3,3,4,2,89,evaluation/bug_detection/generated/block_encoding/maxcut_n3/maxcut_n3__select_cz_to_cx.qasm,paper,0.1,2.75000000000,0.692218655243,0.0353553390593,0,0.0353553390593,0.034071458,0.091537,54.281250,FAIL,False,,success
maxcut_n3__select_cz_to_cx,RQ1,block_encoding,maxcut,cycle,3,6,3,3,4,2,89,evaluation/bug_detection/generated/block_encoding/maxcut_n3/maxcut_n3__select_cz_to_cx.qasm,paper,0.001,2.75000000000,0.692218655243,0.000353553390593,0,0.000353553390593,0.035203417,0.091537,54.296875,FAIL,False,,success
maxcut_n3__select_cz_to_cx,RQ1,block_encoding,maxcut,cycle,3,6,3,3,4,2,89,evaluation/bug_detection/generated/block_encoding/maxcut_n3/maxcut_n3__select_cz_to_cx.qasm,paper,1e-05,2.75000000000,0.692218655243,0.00000353553390593,0,0.00000353553390593,0.034142542,0.091537,54.296875,FAIL,False,,success
